faculty,college,department,url
Ilia Benson, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Vijay J Bhatt, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Dino Biel, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Mike Boctor, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Adam Clark, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Steve Dan, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Harjit Dhillon, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Patricia J Dousette, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Jeffrey Drobman, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Matthew Fritz, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Majid Haghoo, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Andrew Hamilton, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Mani Heravi, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Sevada Isayan, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Vahe Karamian, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Nerces Kevork Kazandjian, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
George L Lazik, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Launis Look, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Oscar Marin, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Sarkis Meguerdijian, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Yevgeniya Mushkatblat, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Esmaail M Nikjeh, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Lucy Parker, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Charles R Putnam, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Felix Rabinovich, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Joel Rarang, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Karl J Rink, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Chris Sales, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Vicky Seno, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Lisa Smith, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Zenaida C. Spradlin, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Lawrence J Stein, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Shantaram Vasikarla, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Steven Wirsz, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Matthew Worland, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Yu Senhua, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Bahram Zartoshty, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
