faculty,college,department,url
Mary-Pat Stein, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Melissa Takahashi, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Casey terHorst, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Cheryl Van Buskirk, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Paul Wilson, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Jeremy Yoder, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Janet Kubler, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Georgios Tsounis, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Chris Chabot, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Cecil Robinson, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/full-time-faculty
Cotton Jennifer, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/full-time-faculty
d'Alessio Matthew, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/full-time-faculty
Evans Eileen, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/full-time-faculty
Ganguli Priya, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/full-time-faculty
Hauswirth Scott, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/full-time-faculty
Miranda Elena, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/full-time-faculty
Schwartz Joshua, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/full-time-faculty
Miller Kimberly, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/lecturers
Joseph Galasso, College of Humanities, Department of Linguistics/TESL, https://www.csun.edu/humanities/linguistics/faculty-staff
Anna Dina L. Joaquin, College of Humanities, Department of Linguistics/TESL, https://www.csun.edu/humanities/linguistics/faculty-staff
Stephanie Hyeri Kim, College of Humanities, Department of Linguistics/TESL, https://www.csun.edu/humanities/linguistics/faculty-staff
Robert Gressis, College of Humanities, Department of Philosophy, https://www.csun.edu/humanities/philosophy/faculty
Kristina Meshelski, College of Humanities, Department of Philosophy, https://www.csun.edu/humanities/philosophy/faculty
Robin M. Muller, College of Humanities, Department of Philosophy, https://www.csun.edu/humanities/philosophy/faculty
