Leonard Rymsza, College of Business and Economics, Department of Business Law, https://www.csun.edu/blaw/faculty-directory?field_person_type_value%5Bfaculty%5D=faculty&field_person_type_value%5Bstaff%5D=staff&page=2
Douglas Carranza  ., College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Karla Cativo, College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Beatriz Cortez  ., College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Jocelyn Duarte, College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Stephanie Lemus, College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Susana Marcelo, College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Leslie Rodriguez, College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Freya Rojo, College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Lizbeth Ruiz-Torres, College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Celia Simonds, College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Jasmin Tobar, College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Joseph Wiltberger  ., College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
An Yountae  ., College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Arturo Zepeda, College of Humanities, Department of Central American Studies, https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
Sandor Samuels, College of Business and Economics, Department of Business Law, https://www.csun.edu/blaw/faculty-directory?field_person_type_value%5Bfaculty%5D=faculty&field_person_type_value%5Bstaff%5D=staff&page=3
