faculty,college,department,url
Jennifer Rodrick, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Mahta Rosenfeld, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Kate Martin Rowe, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Kelly A Rowley, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Emmanuel Sabaiz-birdsill, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Jutta L Schamp, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Michael Schofield, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Heidi A Schumacher, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Kirk Sever, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Diana J Shamiryan, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Mary Shannon, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Cheryl G Slobod, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Patricia J Swenson, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Nancy A Taylor, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Audrey B Thacker, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Anna Tripp, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Maria M Turnmeyer, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Vilma Villela, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Kimberly Wells, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Kimberly D Young, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Richard Abcarian, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
