faculty,college,department,url
Linda Gharakhanian, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Rachel Giacopuzzi-Brown, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Mark Harris, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Cherie Hawthorne, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
James Hogue, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Brenda Kanno, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
William Krohmer, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Karen Moore, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Audrey Morehead, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Terri Richardson M.D., Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Toni Uhlendorf, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Nancy Bishop, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Linda Caren, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Mary Corcoran, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Jim Dole , Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
George Fisler, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Warren Furumoto, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Anthony Gaudin, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Kenneth C. Jones, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Daisy Kuhn, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Jennifer Matos, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Joyce Maxwell, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Joseph Moore, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Steven Oppenheimer, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Ross Pohlo, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Edward Pollock, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
O. Tacheeni Scott, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Phillip Sheeler, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Mary Lee Sparling, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Charles Spotts, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Charles Weston, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Kenneth Wilson, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Peter Bellinger, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Edward J. Carroll, Science and Math, Department of Chemistry and Biochemistry, https://www.csun.edu/science-mathematics/chemistry-biochemistry/faculty-staff
Karin Hassenrueck , Science and Math, Department of Chemistry and Biochemistry, https://www.csun.edu/science-mathematics/chemistry-biochemistry/faculty-staff
Kayla Kaiser, Science and Math, Department of Chemistry and Biochemistry, https://www.csun.edu/science-mathematics/chemistry-biochemistry/faculty-staff
Tim Kautiainen, Science and Math, Department of Chemistry and Biochemistry, https://www.csun.edu/science-mathematics/chemistry-biochemistry/faculty-staff
Kamatchi Lakshminarayanan, Science and Math, Department of Chemistry and Biochemistry, https://www.csun.edu/science-mathematics/chemistry-biochemistry/faculty-staff
Cecil Robinson, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/full-time-faculty
Cotton Jennifer, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/full-time-faculty
d'Alessio Matthew, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/full-time-faculty
Evans Eileen, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/full-time-faculty
Ganguli Priya, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/full-time-faculty
Hauswirth Scott, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/full-time-faculty
Heermance Richard, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/full-time-faculty
Lozos Julian, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/full-time-faculty
Marsaglia Kathleen, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/full-time-faculty
Miranda Elena, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/full-time-faculty
Schwartz Joshua, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/full-time-faculty
Tabidian M. Ali, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/full-time-faculty
Weeraratne Dayanthie, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/full-time-faculty
Yule Doug, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/full-time-faculty
Fleck Jenna, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/lecturers
Huerta Brittany, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/lecturers
McBurnett Paul, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/lecturers
Miller Kimberly, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/lecturers
Pavia Jenni, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/lecturers
Savage Karen, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/lecturers
Adams Herbert G., Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/emeritus-faculty
Collins Lorence G., Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/emeritus-faculty
Dunne George C., Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/emeritus-faculty
Pedone Vicki, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/emeritus-faculty
Simila Gerry, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/emeritus-faculty
Sloan Jon, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/emeritus-faculty
Squires Richard, Science and Math, Department of Geology, https://www.csun.edu/science-mathematics/geology/emeritus-faculty
Enrique de la Cruz, College of Humanities, Department of Asian American Studies, https://www.csun.edu/humanities/asian-american-studies/emeritus-faculty
Anne Crawford, College of Humanities, Department of Linguistics/TESL, https://www.csun.edu/humanities/linguistics/faculty-staff
Joseph Galasso, College of Humanities, Department of Linguistics/TESL, https://www.csun.edu/humanities/linguistics/faculty-staff
Shadi Ganjavi, College of Humanities, Department of Linguistics/TESL, https://www.csun.edu/humanities/linguistics/faculty-staff
John Gides, College of Humanities, Department of Linguistics/TESL, https://www.csun.edu/humanities/linguistics/faculty-staff
Anna Dina L. Joaquin, College of Humanities, Department of Linguistics/TESL, https://www.csun.edu/humanities/linguistics/faculty-staff
Bessie Karras-Lazaris, College of Humanities, Department of Linguistics/TESL, https://www.csun.edu/humanities/linguistics/faculty-staff
Stephanie Hyeri Kim, College of Humanities, Department of Linguistics/TESL, https://www.csun.edu/humanities/linguistics/faculty-staff
Sharon Klein, College of Humanities, Department of Linguistics/TESL, https://www.csun.edu/humanities/linguistics/faculty-staff
Rebecca Litke, College of Humanities, Department of Linguistics/TESL, https://www.csun.edu/humanities/linguistics/faculty-staff
Kenneth V. Luna, College of Humanities, Department of Linguistics/TESL, https://www.csun.edu/humanities/linguistics/faculty-staff
Terrie Mathis, College of Humanities, Department of Linguistics/TESL, https://www.csun.edu/humanities/linguistics/faculty-staff
David J. Medeiros, College of Humanities, Department of Linguistics/TESL, https://www.csun.edu/humanities/linguistics/faculty-staff
Laura Ruth-Hirrel, College of Humanities, Department of Linguistics/TESL, https://www.csun.edu/humanities/linguistics/faculty-staff
Ana Sanchez Munoz, College of Humanities, Department of Linguistics/TESL, https://www.csun.edu/humanities/linguistics/faculty-staff
Tineke Scholten, College of Humanities, Department of Linguistics/TESL, https://www.csun.edu/humanities/linguistics/faculty-staff
Wendy Snyder, College of Humanities, Department of Linguistics/TESL, https://www.csun.edu/humanities/linguistics/faculty-staff
Hyung-Jo Yoon, College of Humanities, Department of Linguistics/TESL, https://www.csun.edu/humanities/linguistics/faculty-staff
Tim Black, College of Humanities, Department of Philosophy, https://www.csun.edu/humanities/philosophy/faculty
Abel Franco, College of Humanities, Department of Philosophy, https://www.csun.edu/humanities/philosophy/faculty
Robert Gressis, College of Humanities, Department of Philosophy, https://www.csun.edu/humanities/philosophy/faculty
Jacob Hale, College of Humanities, Department of Philosophy, https://www.csun.edu/humanities/philosophy/faculty
