,Name,sandbox
72,Randall Allen,https://www.sandbox.csun.edu/faculty/randall.allen
73,Allison Allport counseller,https://www.sandbox.csun.edu/faculty/allison.allport
74,Hassan Almahmood,https://www.sandbox.csun.edu/faculty/hassan.almahmood
75,Daniel Alonzo,https://www.sandbox.csun.edu/faculty/daniel.alonzo
76,Can M Alpaslan,https://www.sandbox.csun.edu/faculty/can.alpaslan.88
77,Howard Alpert,https://www.sandbox.csun.edu/faculty/howard.alpert
78,Anwar S Alroomi,https://www.sandbox.csun.edu/faculty/anwar.alroomi
79,Dylan B Altman,https://www.sandbox.csun.edu/faculty/dylan.altman
80,Erica Alvarado,https://www.sandbox.csun.edu/faculty/erica.alvarado
81,Frank Alvarez,https://www.sandbox.csun.edu/faculty/frank.alvarez
82,Jose R Alvarez,https://www.sandbox.csun.edu/faculty/jose.r.alvarez
83,Linda Alvarez,https://www.sandbox.csun.edu/faculty/linda.alvarez
84,Pauline Alvarez,https://www.sandbox.csun.edu/faculty/pauline.alvarez
85,Ric Alviso,https://www.sandbox.csun.edu/faculty/jesus.alviso
86,Xochitl Alvizo,https://www.sandbox.csun.edu/faculty/xochitl.alvizo
87,Michael E Alvord,https://www.sandbox.csun.edu/faculty/michael.alvord
88,Ahmed Alwan,https://www.sandbox.csun.edu/faculty/ahmed.alwan
89,Nasser Alwehaidah,https://www.sandbox.csun.edu/faculty/nasser.alwehaidah
90,Ahmad Alzghoul,https://www.sandbox.csun.edu/faculty/ahmad.alzghoul
91,Ifeoma Amah,https://www.sandbox.csun.edu/faculty/ifeoma.amah
92,Ravnesh C Amar,https://www.sandbox.csun.edu/faculty/ravnesh.amar
93,Jose F Amaro,https://www.sandbox.csun.edu/faculty/jose.amaro
94,Deborah L Amelon,https://www.sandbox.csun.edu/faculty/deborah.amelon
95,Souzan Amer,https://www.sandbox.csun.edu/faculty/souzan.amer
96,Erik Amerikaner,https://www.sandbox.csun.edu/faculty/erik.amerikaner
97,Afshin Amini,https://www.sandbox.csun.edu/faculty/afshin.amini
98,Ali Amini,https://www.sandbox.csun.edu/faculty/ali.amini
99,Arsalan Amir Ali,https://www.sandbox.csun.edu/faculty/arsalan.amirali
100,Jora Amirkhanian,https://www.sandbox.csun.edu/faculty/jora.amirkhanian
101,Silva Amirkhanian,https://www.sandbox.csun.edu/faculty/silva.amirkhanian
102,Scott Amiss,https://www.sandbox.csun.edu/faculty/scott.amiss
103,Behnam Amlashi,https://www.sandbox.csun.edu/faculty/behnam.amlashi
104,Noah Amrani,https://www.sandbox.csun.edu/faculty/noah.amrani
105,Eunjoo An,https://www.sandbox.csun.edu/faculty/eunjoo.an
106,Yountae An,https://www.sandbox.csun.edu/faculty/yountae.an
107,Vatche Ananian,https://www.sandbox.csun.edu/faculty/vatche.ananian
108,David Andersen,https://www.sandbox.csun.edu/faculty/david.andersen.17
109,Mads Peter Sulbaek Andersen,https://www.sandbox.csun.edu/faculty/sulbaek.andersen
110,Bridget Anderson,https://www.sandbox.csun.edu/faculty/bridget.anderson
111,Darla R Anderson,https://www.sandbox.csun.edu/faculty/darla.anderson
112,Gary Anderson,https://www.sandbox.csun.edu/faculty/garry.anderson
113,Karen B Anderson,https://www.sandbox.csun.edu/faculty/karen.anderson
114,Ruthann Anderson,https://www.sandbox.csun.edu/faculty/ruth.anderson
115,Rebecca Andrade,https://www.sandbox.csun.edu/faculty/rebecca.andrade
116,Kalman Andrassy,https://www.sandbox.csun.edu/faculty/kalman.andrassy
117,Susan A Andraus,https://www.sandbox.csun.edu/faculty/susan.andraus
118,Richard A Andrews,https://www.sandbox.csun.edu/faculty/richard.andrews
119,Scott D Andrews,https://www.sandbox.csun.edu/faculty/scott.andrews
120,Bryan Angara,https://www.sandbox.csun.edu/faculty/bryan.angara
121,Rosa M Angulo-Barroso,https://www.sandbox.csun.edu/faculty/rosa.angulobarroso
122,Shahid Ansari,https://www.sandbox.csun.edu/faculty/shahid.ansari
123,McKale Antonious,https://www.sandbox.csun.edu/faculty/mckale.antonious
124,Michael Antos,https://www.sandbox.csun.edu/faculty/michael.antos
125,Padideh Anvari,https://www.sandbox.csun.edu/faculty/padideh.anvari
126,Marlene Apfelberg,https://www.sandbox.csun.edu/faculty/marlene.apfelberg
127,Fabrizio Apodaca,https://www.sandbox.csun.edu/faculty/fabrizio.apodaca
128,Jeffrey L Appell,https://www.sandbox.csun.edu/faculty/jeffrey.appell
129,Scott A Appelrouth,https://www.sandbox.csun.edu/faculty/scott.appelrouth
130,Brittany N Applen,https://www.sandbox.csun.edu/faculty/brittany.applen
131,Gabriela F Aprato,https://www.sandbox.csun.edu/faculty/gabriela.aprato
132,Allan A Aquino,https://www.sandbox.csun.edu/faculty/allan.aquino
133,Martin Arce,https://www.sandbox.csun.edu/faculty/martin.arce
134,Alyssa Arentoft,https://www.sandbox.csun.edu/faculty/alyssa.arentoft
135,Tokuroh Arimitsu,https://www.sandbox.csun.edu/faculty/jarimitsu
136,Pauline Arneberg,https://www.sandbox.csun.edu/faculty/pauline.arneberg
137,Trudy T Arriaga,https://www.sandbox.csun.edu/faculty/trudy.arriaga
138,Maurice L Arrington,https://www.sandbox.csun.edu/faculty/maurice.arrington
139,Laura Arrowsmith,https://www.sandbox.csun.edu/faculty/llaura.arrowsmith
140,Roger S Arst,https://www.sandbox.csun.edu/faculty/roger.s.arst
141,Richard A Arthur,https://www.sandbox.csun.edu/faculty/tony.arthur
142,Tamar Artin,https://www.sandbox.csun.edu/faculty/tamar.artin
