 Jay S. Berger,College of Business and Economics,Department of Finance,https://www.csun.edu/finance/faculty-directory
 Donald Bleich,College of Business and Economics,Department of Finance,https://www.csun.edu/finance/faculty-directory
 Sol S. Buchalter,College of Business and Economics,Department of Finance,https://www.csun.edu/finance/faculty-directory
 David D. Cary,College of Business and Economics,Department of Finance,https://www.csun.edu/finance/faculty-directory
 Chao Chen,College of Business and Economics,Department of Finance,https://www.csun.edu/finance/faculty-directory
 Michael F. Dunn,College of Business and Economics,Department of Finance,https://www.csun.edu/finance/faculty-directory
 William P. Jennings,College of Business and Economics,Department of Finance,https://www.csun.edu/finance/faculty-directory
 Daniel L. McConaughy,College of Business and Economics,Department of Finance,https://www.csun.edu/finance/faculty-directory
 Mary Jean Scheuer,College of Business and Economics,Department of Finance,https://www.csun.edu/finance/faculty-directory
 Arthur Taitt,College of Business and Economics,Department of Finance,https://www.csun.edu/finance/faculty-directory
 Amy Feliciano,College of Business and Economics,Department of Finance,https://www.csun.edu/finance/faculty-directory
Alexander Alekseenko,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
Alberto Candel,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
Maria Rita D'Orsogna,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
Rabia Djellouli,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
Kellie Evans,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
Silvia Fernandez,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
Terry Fuller,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
Xiaolong Han,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
Daniel Katz,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
David Klein,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
Jing Li,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
Jason Lo,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
Jacek Polewczak,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
Mary Rosen,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
Mark Schilling,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
Malcolm Soule,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
Chad Sprouse,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
Csaba Toth,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
